"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02937V03552","Sector","UNIT","VALUE"
"NAQ06C01","GVA at Current Basic Prices","20081","2008Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","8710"
"NAQ06C01","GVA at Current Basic Prices","20081","2008Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","33929"
"NAQ06C01","GVA at Current Basic Prices","20082","2008Q2","-","All sectors","Euro Million","43189"
"NAQ06C01","GVA at Current Basic Prices","20082","2008Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","8899"
"NAQ06C01","GVA at Current Basic Prices","20082","2008Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","34290"
"NAQ06C01","GVA at Current Basic Prices","20083","2008Q3","-","All sectors","Euro Million","41480"
"NAQ06C01","GVA at Current Basic Prices","20083","2008Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","8276"
"NAQ06C01","GVA at Current Basic Prices","20083","2008Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","33204"
"NAQ06C01","GVA at Current Basic Prices","20084","2008Q4","-","All sectors","Euro Million","40028"
"NAQ06C01","GVA at Current Basic Prices","20084","2008Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","7051"
"NAQ06C01","GVA at Current Basic Prices","20084","2008Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","32977"
"NAQ06C01","GVA at Current Basic Prices","20091","2009Q1","-","All sectors","Euro Million","38746"
"NAQ06C01","GVA at Current Basic Prices","20091","2009Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","9928"
"NAQ06C01","GVA at Current Basic Prices","20091","2009Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","28818"
"NAQ06C01","GVA at Current Basic Prices","20092","2009Q2","-","All sectors","Euro Million","39215"
"NAQ06C01","GVA at Current Basic Prices","20092","2009Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","9958"
"NAQ06C01","GVA at Current Basic Prices","20092","2009Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","29257"
"NAQ06C01","GVA at Current Basic Prices","20093","2009Q3","-","All sectors","Euro Million","37390"
"NAQ06C01","GVA at Current Basic Prices","20093","2009Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","8551"
"NAQ06C01","GVA at Current Basic Prices","20093","2009Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","28839"
"NAQ06C01","GVA at Current Basic Prices","20094","2009Q4","-","All sectors","Euro Million","36985"
"NAQ06C01","GVA at Current Basic Prices","20094","2009Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","8171"
"NAQ06C01","GVA at Current Basic Prices","20094","2009Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","28814"
"NAQ06C01","GVA at Current Basic Prices","20101","2010Q1","-","All sectors","Euro Million","37866"
"NAQ06C01","GVA at Current Basic Prices","20101","2010Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","9469"
"NAQ06C01","GVA at Current Basic Prices","20101","2010Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","28397"
"NAQ06C01","GVA at Current Basic Prices","20102","2010Q2","-","All sectors","Euro Million","38012"
"NAQ06C01","GVA at Current Basic Prices","20102","2010Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","8961"
"NAQ06C01","GVA at Current Basic Prices","20102","2010Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","29051"
"NAQ06C01","GVA at Current Basic Prices","20103","2010Q3","-","All sectors","Euro Million","37611"
"NAQ06C01","GVA at Current Basic Prices","20103","2010Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","8646"
"NAQ06C01","GVA at Current Basic Prices","20103","2010Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","28965"
"NAQ06C01","GVA at Current Basic Prices","20104","2010Q4","-","All sectors","Euro Million","38835"
"NAQ06C01","GVA at Current Basic Prices","20104","2010Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","9229"
"NAQ06C01","GVA at Current Basic Prices","20104","2010Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","29606"
"NAQ06C01","GVA at Current Basic Prices","20111","2011Q1","-","All sectors","Euro Million","38731"
"NAQ06C01","GVA at Current Basic Prices","20111","2011Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","9832"
"NAQ06C01","GVA at Current Basic Prices","20111","2011Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","28899"
"NAQ06C01","GVA at Current Basic Prices","20112","2011Q2","-","All sectors","Euro Million","40379"
"NAQ06C01","GVA at Current Basic Prices","20112","2011Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","10456"
"NAQ06C01","GVA at Current Basic Prices","20112","2011Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","29923"
"NAQ06C01","GVA at Current Basic Prices","20113","2011Q3","-","All sectors","Euro Million","39122"
"NAQ06C01","GVA at Current Basic Prices","20113","2011Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","9232"
"NAQ06C01","GVA at Current Basic Prices","20113","2011Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","29889"
"NAQ06C01","GVA at Current Basic Prices","20114","2011Q4","-","All sectors","Euro Million","40046"
"NAQ06C01","GVA at Current Basic Prices","20114","2011Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","9700"
"NAQ06C01","GVA at Current Basic Prices","20114","2011Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","30347"
"NAQ06C01","GVA at Current Basic Prices","20121","2012Q1","-","All sectors","Euro Million","40424"
"NAQ06C01","GVA at Current Basic Prices","20121","2012Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","10697"
"NAQ06C01","GVA at Current Basic Prices","20121","2012Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","29727"
"NAQ06C01","GVA at Current Basic Prices","20122","2012Q2","-","All sectors","Euro Million","40725"
"NAQ06C01","GVA at Current Basic Prices","20122","2012Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","10369"
"NAQ06C01","GVA at Current Basic Prices","20122","2012Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","30356"
"NAQ06C01","GVA at Current Basic Prices","20123","2012Q3","-","All sectors","Euro Million","39697"
"NAQ06C01","GVA at Current Basic Prices","20123","2012Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","9150"
"NAQ06C01","GVA at Current Basic Prices","20123","2012Q3","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","30547"
"NAQ06C01","GVA at Current Basic Prices","20124","2012Q4","-","All sectors","Euro Million","40614"
"NAQ06C01","GVA at Current Basic Prices","20124","2012Q4","1","Foreign-owned multinational enterprise dominated","Euro Million","9081"
"NAQ06C01","GVA at Current Basic Prices","20124","2012Q4","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","31533"
"NAQ06C01","GVA at Current Basic Prices","20131","2013Q1","-","All sectors","Euro Million","40703"
"NAQ06C01","GVA at Current Basic Prices","20131","2013Q1","1","Foreign-owned multinational enterprise dominated","Euro Million","10016"
"NAQ06C01","GVA at Current Basic Prices","20131","2013Q1","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","30687"
"NAQ06C01","GVA at Current Basic Prices","20132","2013Q2","-","All sectors","Euro Million","42307"
"NAQ06C01","GVA at Current Basic Prices","20132","2013Q2","1","Foreign-owned multinational enterprise dominated","Euro Million","10171"
"NAQ06C01","GVA at Current Basic Prices","20132","2013Q2","2","Other sectors excluding the foreign-owned multinational enterprise dominated sector","Euro Million","32136"
"NAQ06C01","GVA at Current Basic Prices","20133","2013Q3","-","All sectors","Euro Million","42532"
"NAQ06C01","GVA at Current Basic Prices","20133","2013Q3","1","Foreign-owned multinational enterprise dominated","Euro Million","9515"
